6,1,0
13,2,0
20,3,0
27,4,0
34,5,0
41,6,0
48,7,0
56,8,0
64,9,0
72,10,0
80,11,0
88,12,0
96,13,0
104,14,0
112,15,0
121,16,0
130,17,0
139,18,0
148,19,0
157,20,0
166,21,0
175,22,0
184,23,0
193,24,0
202,25,0
210,26,0
219,27,0
228,28,0
237,29,0
246,30,0
255,31,0
264,32,0
273,33,0
282,34,0
291,35,0
300,36,0
309,37,0
318,38,0
327,39,0
337,40,0
347,41,0
357,42,1
367,43,1
377,44,1
387,45,1
397,46,1
406,47,1
416,48,1
426,49,1
436,50,1
446,51,1
456,52,1
466,53,1
476,54,1
486,55,1
496,56,1
506,57,1
516,58,1
526,59,1
536,60,1
546,61,1
556,62,1
566,63,1
576,64,1
586,65,1
596,66,1
606,67,1
616,68,1
626,69,1
636,70,1
646,71,1
656,72,1
665,73,1
675,74,1
685,75,1
694,76,1
704,77,1
714,78,1
724,79,1
734,80,1
744,81,1
754,82,1
764,83,1
774,84,1
784,85,1
794,86,1
805,87,1
816,88,1
827,89,1
837,90,1
848,91,1
858,92,1
869,93,1
880,94,1
890,95,2
901,96,2
912,97,2
922,98,2
933,99,2
944,100,2
955,101,2
966,102,2
977,103,2
988,104,2
999,105,2
1010,106,2
1021,107,2
1031,108,2
1042,109,2
1053,110,2
1064,111,2
1075,112,2
1086,113,2
1097,114,2
1108,115,2
1118,116,2
1129,117,2
1140,118,2
1151,119,2
1162,120,2
1173,121,2
1184,122,2
1195,123,2
1206,124,2
1217,125,2
1228,126,2
1239,127,2
1250,128,2
1261,129,2
1272,130,2
1283,131,2
1294,132,2
1305,133,2
1316,134,2
1327,135,2
1338,136,2
1349,137,2
1360,138,2
1371,139,2
1382,140,2
1393,141,2
1404,142,2
1415,143,2
1426,144,2
1437,145,2
1448,146,2
1459,147,2
1470,148,2
1481,149,2
1492,150,2
1503,151,2
1514,152,2
1525,153,2
1536,154,2
1547,155,2
1558,156,2
1569,157,2
1580,158,2
1591,159,2
1602,160,2
1613,161,2
1624,162,2
